ROWID,fir_rowid,ipc_rowid
430,266,16
431,266,14
432,267,6
433,267,21
434,268,18
435,268,11
436,269,23
437,269,4
438,270,10
439,271,6
440,271,20
441,271,21
442,272,4
443,272,5
444,272,20
445,273,22
446,273,21
447,274,4
448,274,5
449,275,26
450,275,16
451,276,10
452,276,12
453,276,21
454,277,19
455,277,20
456,277,21
457,278,10
458,278,12
459,279,6
460,279,20
461,280,18
462,280,11
463,280,17
464,281,2
465,282,7
466,283,4
467,283,21
468,284,16
469,285,26
470,286,19
471,286,20
472,286,21
473,287,26
474,288,28
475,289,18
476,289,11
477,289,17
478,290,10
479,291,4
480,292,10
481,293,7
482,294,12
483,294,21
484,295,6
485,296,28
486,297,6
487,298,26
488,299,10
489,299,12
490,299,21
491,300,4
492,300,5
493,300,20
494,301,10
495,302,23
496,302,22
497,303,1
498,303,21
499,304,18
500,304,11
501,305,10
502,306,28
503,307,28
504,308,4
505,308,20
506,309,10
507,310,2
508,310,5
509,310,21
510,311,19
511,312,26
512,313,10
513,313,12
514,314,18
515,314,11
516,314,17
517,315,10
518,316,16
519,317,16
520,318,24
521,319,16
522,319,27
523,319,26
524,320,10
525,320,21
526,321,18
527,321,11
528,322,29
529,323,24
530,324,19
531,325,29
532,326,29
533,327,1
534,327,21
535,328,16
536,328,27
537,329,19
538,330,8
539,331,4
540,331,20
541,332,16
542,332,27
543,332,26
544,333,12
545,333,21
546,334,16
547,334,27
548,335,10
549,336,16
550,337,16
551,337,14
552,337,27
553,338,24
554,339,22
555,339,21
556,340,4
557,340,5
558,341,16
559,341,14
560,342,19
561,343,4
562,343,5
563,343,20
564,344,10
565,345,10
566,346,18
567,346,11
568,347,4
569,347,5
570,348,1
571,349,10
572,350,7
573,350,21
574,351,18
575,351,11
576,351,17
577,352,28
578,353,6
579,353,20
580,354,4
581,354,21
582,355,10
583,356,4
584,356,5
585,356,20
586,357,4
587,357,5
588,357,21
589,358,26
590,358,16
591,359,2
592,359,21
593,360,18
594,360,11
595,361,19
596,361,20
597,361,21
598,362,10
599,363,8
600,364,24
601,365,28
602,366,29
603,367,28
604,368,10
605,368,12
606,369,19
607,369,20
608,370,16
609,370,27
610,371,29
611,372,23
612,373,10
613,374,10
614,375,19
615,376,28
616,377,18
617,377,11
618,377,17
619,378,16
620,378,27
621,379,19
622,380,6
623,380,21
624,381,24
625,382,26
626,382,16
627,383,2
628,383,5
629,384,10
630,385,16
631,385,27
632,386,4
633,386,5
634,387,16
635,387,27
636,388,1
637,389,29
638,390,4
639,390,20
640,391,19
641,391,20
642,392,16
643,392,27
644,393,24
645,394,24
646,394,25
647,395,10
648,396,28
649,397,4
650,398,1
651,399,12
652,399,21
653,400,16
654,400,27
655,401,28
656,402,4
657,403,28
658,404,1
659,405,19
660,405,21
661,406,10
662,407,7
663,407,21
664,408,16
665,409,6
666,410,10
667,411,19
668,411,21
669,412,28
670,413,24
671,414,1
672,415,16
673,416,4
674,416,5
675,416,20
676,417,19
677,418,6
678,418,21
679,419,18
680,419,11
681,419,17
682,420,10
683,420,12
684,420,21
685,421,10
686,422,4
687,422,5
688,422,20
689,423,1
690,423,21
691,424,4
692,424,20
693,425,26
694,426,7
695,426,21
696,427,28
697,428,24
698,429,16
699,430,10
700,430,12
701,431,24
702,432,10
703,433,4
704,433,5
705,434,2
706,434,5
707,435,19
708,435,21
709,436,7
710,437,10
711,438,8
712,439,23
713,440,8
714,440,21
715,441,28
716,442,4
717,442,20
718,443,16
719,443,27
720,444,18
721,444,11
722,445,2
723,445,21
724,446,29
725,447,8
726,447,21
727,448,18
728,448,11
729,448,17
730,449,10
731,450,16
732,450,14
733,451,10
734,452,28
735,453,10
736,453,12
737,453,21
738,454,24
739,455,16
740,456,8
741,457,23
742,457,4
743,458,16
744,458,27
745,459,18
746,459,11
747,460,29
748,461,19
749,462,4
750,462,5
751,463,10
752,464,24
753,465,23
754,465,22
755,465,4
756,466,7
757,467,24
758,467,25
759,468,4
760,468,20
761,469,28
762,470,16
763,470,14
764,470,27
765,471,10
766,472,10
767,473,8
768,474,16
769,474,27
770,474,26
771,475,19
772,475,21
773,476,16
774,476,27
775,476,26
776,477,6
777,478,22
778,478,21
779,479,6
780,479,20
781,480,26
782,481,16
783,481,14
784,482,24
785,483,18
786,483,11
787,483,17
788,484,16
789,484,14
790,485,24
791,486,10
792,487,6
793,488,16
794,488,27
795,489,24
796,490,22
797,490,21
798,491,16
799,492,28
800,493,10
801,494,4
802,494,21
803,495,19
804,496,1
805,496,21
806,497,16
807,497,27
808,497,26
809,498,16
810,498,14
811,499,4
812,499,5
813,499,20
814,500,10
815,500,21
816,501,10
817,502,10
818,503,16
819,503,27
820,504,23
821,504,4
822,505,4
823,505,20
824,505,21
825,506,10
826,507,4
827,507,5
828,508,4
829,508,20
830,509,4
831,510,16
832,510,14
833,511,16
834,512,2
835,512,5
836,513,26
837,513,16
838,514,1
839,515,2
840,516,16
841,516,27
842,516,26
843,517,1
844,517,21
845,518,4
846,518,20
847,519,8
848,519,21
849,520,16
850,520,27
851,520,26
852,521,7
853,522,10
854,523,28
855,524,10
856,525,10
857,526,16
858,526,14
859,526,15
860,527,4
861,527,5
862,527,21
863,528,4
864,528,5
865,528,20
866,529,10
867,530,8
868,531,16
869,531,27
870,532,16
871,533,19
872,533,21
873,534,24
874,534,25
875,535,16
876,535,15
877,535,27
878,536,29
879,537,24
880,538,28
881,539,4
882,539,20
883,540,10
884,541,10
885,542,24
886,543,2
887,543,21
888,544,28
889,545,26
890,545,21
891,546,10
892,547,29
893,548,6
894,549,2
895,550,12
896,550,21
897,551,28
898,552,4
899,552,5
900,552,20
901,553,18
902,553,11
903,554,10
904,555,4
905,555,5
906,555,21
907,556,28
908,557,18
909,557,11
910,558,19
911,559,18
912,559,11
913,560,10
914,561,16
915,561,14
916,562,6
917,562,20
918,563,10
919,564,29
920,565,4
921,565,21
922,566,10
923,566,12
924,567,10
925,568,24
926,569,18
927,569,11
928,569,17
929,570,10
930,571,16
931,571,14
932,571,27
933,572,28
934,573,10
935,574,10
936,575,24
937,576,16
938,576,27
939,576,26
940,577,28
941,578,12
942,578,13
943,578,21
944,579,26
945,579,21
946,580,10
947,580,12
948,580,21
949,581,4
950,581,20
951,582,26
952,583,10
953,584,16
954,585,4
955,585,5
956,586,18
957,586,11
958,586,17
959,587,16
960,588,10
961,589,1
962,590,10
963,590,21
964,591,16
965,592,10
966,592,12
967,593,18
968,593,11
969,593,17
970,594,7
971,594,21
972,595,1
973,595,21
974,596,4
975,596,5
976,596,20
977,597,1
978,598,19
979,598,20
980,598,21
981,599,28
982,600,10
983,601,29
984,602,16
985,602,27
986,602,26
987,603,22
988,604,16
989,604,27
990,604,26
991,605,4
992,605,21
993,606,16
994,607,29
995,608,10
996,609,16
997,610,16
998,611,16
999,611,14
1000,611,15
1001,612,8
1002,613,1
1003,614,10
1004,614,21
1005,615,10
1006,616,23
1007,616,4
1008,617,10
1009,618,16
1010,619,19
1011,619,21
1012,620,26
1013,620,21
1014,621,10
1015,621,12
1016,622,16
1017,622,15
1018,622,27
1019,623,16
1020,623,27
1021,623,26
1022,624,19
1023,624,20
1024,625,24
1025,626,10
1026,627,16
1027,627,14
1028,628,28
1029,629,10
1030,630,10
1031,631,26
1032,632,10
1033,633,8
1034,634,16
1035,635,7
1036,636,10
1037,637,4
1038,638,10
1039,638,12
1040,639,7
1041,640,18
1042,640,11
1043,640,17
1044,641,18
1045,641,11
1046,642,26
1047,642,20
1048,642,21
1049,643,28
1050,644,29
1051,645,16
1052,645,27
1053,645,26
1054,646,4
1055,647,24
1056,648,24
1057,649,10
1058,650,22
1059,650,21
1060,651,22
1061,651,21
1062,652,24
1063,653,10
1064,654,10
1065,654,12
1066,654,21
1067,655,24
1068,656,29
1069,657,4
1070,657,20
1071,658,24
1072,659,16
1073,659,15
1074,659,27
1075,660,4
1076,661,28
1077,662,7
1078,662,21
1079,663,18
1080,663,11
1081,664,16
1082,664,27
1083,664,26
1084,665,28
1085,666,2
1086,667,7
1087,668,1
1088,668,21
1089,669,4
1090,669,21
1091,670,19
1092,671,19
1093,671,21
1094,672,4
1095,673,12
1096,673,21
1097,674,26
1098,674,20
1099,674,21
1100,675,6
1101,675,20
1102,676,22
1103,676,21
1104,677,8
1105,677,21
1106,678,18
1107,678,11
1108,679,8
1109,680,18
1110,680,11
1111,680,17
1112,681,18
1113,681,11
1114,681,17
1115,682,4
1116,682,5
1117,682,20
1118,683,16
1119,683,14
1120,684,4
1121,684,5
1122,684,20
1123,685,16
1124,685,14
1125,686,26
1126,687,10
1127,688,10
1128,689,16
1129,689,27
1130,690,10
1131,691,16
1132,691,27
1133,692,22
1134,692,21
1135,693,16
1136,694,18
1137,694,11
1138,695,4
1139,695,5
1140,695,20
1141,696,10
1142,697,12
1143,698,4
1144,699,18
1145,699,11
1146,699,17
1147,700,18
1148,700,11
1149,700,17
1150,701,28
1151,702,29
1152,703,24
1153,704,1
1154,704,21
1155,705,16
1156,705,15
1157,705,27
1158,706,18
1159,706,11
1160,707,4
1161,707,5
1162,707,20
1163,708,10
1164,709,24
1165,710,24
1166,711,24
1167,711,25
1168,712,16
1169,712,14
1170,713,26
1171,714,28
1172,715,12
1173,715,21
1174,716,16
1175,716,14
1176,717,16
1177,717,27
1178,718,4
1179,718,5
1180,718,21
1181,719,6
1182,720,2
1183,720,21
1184,721,19
1185,721,20
1186,722,7
1187,723,7
1188,723,21
1189,724,28
1190,725,12
1191,726,1
1192,726,21
1193,727,28
1194,728,10
1195,729,24
1196,730,1
1197,730,21
1198,731,10
1199,732,28
1200,733,8
1201,734,16
1202,734,27
1203,735,23
1204,735,4
1205,736,10
1206,736,21
1207,737,18
1208,737,11
1209,737,17
1210,738,19
1211,738,20
1212,738,21
1213,739,10
1214,740,16
1215,741,28
1216,742,6
1217,742,20
1218,742,21
1219,743,23
1220,744,16
1221,744,27
1222,744,26
1223,745,10
1224,746,8
1225,746,21
1226,747,10
1227,748,24
1228,749,16
1229,749,14
1230,750,24
1231,751,16
1232,751,27
1233,752,4
1234,752,5
1235,752,20
1236,753,2
1237,753,5
1238,753,21
1239,754,10
1240,755,23
1241,755,22
1242,756,10
1243,756,12
1244,757,1
1245,758,7
1246,759,24
1247,760,18
1248,760,11
1249,760,17
1250,761,19
1251,762,16
1252,762,14
1253,763,8
1254,764,7
1255,764,21
1256,765,6
1257,765,20
1258,765,21
1259,766,19
1260,766,21
1261,767,4
1262,767,5
1263,768,4
1264,768,5
1265,769,23
1266,769,4
1267,770,22
1268,770,21
1269,771,26
1270,772,10
1271,773,16
1272,773,15
1273,773,27
1274,774,16
1275,774,14
1276,774,15
1277,775,23
1278,775,4
1279,776,16
1280,777,10
1281,777,12
1282,778,26
1283,778,21
1284,779,7
1285,780,10
1286,780,21
1287,781,26
1288,781,21
1289,782,18
1290,782,11
1291,783,10
1292,784,2
1293,784,21
1294,785,16
1295,785,27
1296,786,8
1297,786,21
1298,787,16
1299,788,10
1300,788,12
1301,788,21
1302,789,16
1303,789,14
1304,790,10
1305,791,10
1306,791,21
1307,792,16
1308,792,27
1309,792,26
1310,793,18
1311,793,11
1312,793,17
1313,794,16
1314,795,18
1315,795,11
1316,796,18
1317,796,11
1318,797,4
1319,797,5
1320,798,24
1321,799,24
1322,800,23
1323,800,4
1324,801,28
1325,802,4
1326,803,23
1327,804,10
1328,805,7
1329,805,21
1330,806,28
1331,807,6
1332,807,20
1333,807,21
1334,808,10
1335,809,18
1336,809,11
1337,810,2
1338,810,21
1339,811,6
1340,811,20
1341,812,18
1342,812,11
1343,813,28
1344,814,7
1345,815,10
1346,816,10
1347,816,12
1348,816,21
1349,817,19
1350,818,16
1351,819,10
1352,820,28
1353,821,8
1354,822,18
1355,822,11
1356,822,17
1357,823,16
1358,824,19
1359,824,20
1360,824,21
1361,825,10
1362,825,12
1363,826,24
1364,827,22
1365,827,21
1366,828,10
1367,828,12
1368,829,16
1369,829,14
1370,829,27
1371,830,4
1372,830,21
1373,831,29
1374,832,10
1375,833,16
1376,834,10
1377,835,18
1378,835,11
1379,836,22
1380,837,19
1381,837,21
1382,838,4
1383,838,5
1384,839,18
1385,839,11
1386,839,17
1387,840,10
1388,841,23
1389,842,26
1390,842,21
1391,843,6
1392,844,10
1393,845,10
1394,846,28
1395,847,10
1396,848,7
1397,849,6
1398,849,20
1399,850,4
1400,850,20
1401,851,24
1402,852,7
1403,853,2
1404,853,5
1405,853,21
1406,854,19
1407,855,19
1408,856,16
1409,856,15
1410,856,27
1411,857,10
1412,858,26
1413,858,20
1414,859,16
1415,860,24
1416,860,25
1417,861,24
1418,862,4
1419,863,16
1420,863,14
1421,864,12
1422,864,21
1423,865,16
1424,865,27
1425,866,16
1426,867,7
1427,868,24
1428,869,16
1429,869,14
1430,870,10
1431,871,16
1432,871,15
1433,872,28
1434,873,16
1435,873,14
1436,874,10
1437,875,16
1438,875,15
1439,875,27
1440,876,10
1441,877,19
1442,878,10
1443,879,12
1444,879,13
1445,880,10
1446,881,10
1447,881,12
1448,882,16
1449,882,27
1450,882,26
1451,883,29
1452,884,7
1453,885,24
1454,885,25
1455,886,16
1456,886,14
1457,887,6
1458,887,21
1459,888,22
1460,889,8
1461,890,10
1462,891,4
1463,891,5
1464,892,10
1465,893,16
1466,893,14
1467,893,15
1468,894,23
1469,894,4
1470,895,4
1471,895,20
1472,896,4
1473,896,20
1474,896,21
1475,897,23
1476,897,22
1477,898,22
1478,898,21
1479,899,10
1480,899,21
1481,900,1
1482,901,16
1483,902,10
1484,903,29
1485,904,12
1486,904,21
1487,905,24
1488,906,10
1489,906,21
1490,907,16
1491,908,16
1492,909,24
1493,909,25
1494,910,6
1495,911,19
1496,911,20
1497,911,21
1498,912,4
1499,912,21
1500,913,23
1501,913,22
1502,914,10
1503,915,22
1504,916,7
1505,916,21
1506,917,10
1507,918,26
1508,919,16
1509,919,14
1510,920,29
1511,921,10
1512,922,18
1513,922,11
1514,922,17
1515,923,10
1516,924,2
1517,924,5
1518,925,28
1519,926,18
1520,926,11
1521,926,17
1522,927,7
1523,928,24
1524,928,25
1525,929,16
1526,929,14
1527,930,19
1528,930,21
1529,931,16
1530,931,14
1531,932,4
1532,932,5
1533,932,20
1534,933,12
1535,934,10
1536,935,19
1537,935,20
1538,936,16
1539,936,27
1540,936,26
1541,937,16
1542,938,24
1543,938,25
1544,939,16
1545,939,27
1546,940,10
1547,941,16
1548,941,27
1549,942,16
1550,943,28
1551,944,16
1552,944,27
1553,944,26
1554,945,19
1555,945,20
1556,945,21
1557,946,16
1558,946,14
1559,946,27
1560,947,10
1561,947,21
1562,948,10
1563,949,10
1564,950,19
1565,951,16
1566,952,16
1567,952,27
1568,952,26
1569,953,24
1570,954,10
1571,954,12
1572,954,21
1573,955,16
1574,955,27
1575,956,4
1576,956,20
1577,956,21
1578,957,4
1579,958,7
1580,959,19
1581,959,20
1582,960,10
1583,961,10
1584,961,21
1585,962,16
1586,963,10
1587,964,10
1588,965,23
1589,966,6
1590,967,2
1591,967,5
1592,968,16
1593,968,27
1594,969,16
1595,969,27
1596,970,29
1597,971,10
1598,971,12
1599,971,21
1600,972,4
1601,972,20
1602,973,2
1603,973,5
1604,974,6
1605,975,24
1606,976,18
1607,976,11
1608,976,17
1609,977,10
1610,978,10
1611,979,10
1612,980,10
1613,981,16
1614,981,14
1615,982,10
1616,982,12
1617,982,21
1618,983,1
1619,983,21
1620,984,6
1621,984,21
1622,985,1
1623,985,21
1624,986,1
1625,987,10
1626,988,10
1627,988,21
1628,989,12
1629,989,13
1630,989,21
1631,990,4
1632,990,21
1633,991,18
1634,991,11
1635,992,4
1636,992,20
1637,993,7
1638,994,16
1639,995,18
1640,995,11
1641,995,17
1642,996,18
1643,996,11
1644,997,1
1645,998,28
1646,999,22
1647,999,21
1648,1000,10
1649,1001,4
1650,1001,20
1651,1002,10
1652,1002,21
1653,1003,4
1654,1003,20
1655,1004,26
1656,1004,16
1657,1005,18
1658,1005,11
1659,1005,17
1660,1006,7
1661,1007,18
1662,1007,11
1663,1008,2
1664,1008,5
1665,1009,24
1666,1010,4
1667,1011,23
1668,1011,4
1669,1012,4
1670,1012,5
1671,1013,6
1672,1013,21
1673,1014,8
1674,1015,6
1675,1015,20
1676,1016,22
1677,1017,10
1678,1017,21
1679,1018,19
1680,1019,28
1681,1020,10
1682,1020,12
1683,1021,28
1684,1022,24
1685,1022,25
1686,1023,29
1687,1024,4
1688,1024,20
1689,1025,10
1690,1026,24
1691,1026,25
1692,1027,16
1693,1028,10
1694,1028,12
1695,1029,16
1696,1029,27
1697,1030,10
1698,1031,4
1699,1031,5
1700,1032,10
1701,1032,12
1702,1033,29
1703,1034,8
1704,1034,21
1705,1035,16
1706,1036,16
1707,1036,15
1708,1036,27
1709,1037,4
1710,1037,20
1711,1037,21
1712,1038,16
1713,1039,10
1714,1039,21
1715,1040,28
1716,1041,2
1717,1041,5
1718,1042,18
1719,1042,11
1720,1042,17
1721,1043,10
1722,1044,18
1723,1044,11
1724,1044,17
1725,1045,22
1726,1045,21
1727,1046,24
1728,1047,4
1729,1047,20
1730,1048,8
1731,1048,21
1732,1049,1
1733,1049,21
1734,1050,4
1735,1050,5
1736,1051,18
1737,1051,11
1738,1051,17
1739,1052,16
1740,1052,14
1741,1052,15
1742,1053,6
1743,1053,20
1744,1054,10
1745,1054,12
1746,1055,2
1747,1055,5
1748,1055,21
1749,1056,22
1750,1057,4
1751,1057,20
1752,1058,18
1753,1058,11
1754,1059,28
1755,1060,16
1756,1060,14
1757,1061,29
1758,1062,23
1759,1062,4
1760,1063,1
1761,1063,21
1762,1064,4
1763,1064,5
1764,1064,20
1765,1065,4
1766,1065,20
1767,1065,21
1768,1066,4
1769,1066,21
1770,1067,19
1771,1067,20
1772,1067,21
1773,1068,16
1774,1069,16
1775,1070,10
1776,1070,21
1777,1071,29
1778,1072,28
1779,1073,10
1780,1073,21
1781,1074,10
1782,1075,2
1783,1075,5
1784,1075,21
1785,1076,16
1786,1076,27
1787,1077,10
1788,1078,6
1789,1079,19
1790,1079,20
1791,1080,10
1792,1081,29
1793,1082,10
1794,1083,8
1795,1083,21
1796,1084,24
1797,1085,10
1798,1085,21
1799,1086,16
1800,1086,14
1801,1087,16
1802,1087,14
1803,1088,7
1804,1089,10
1805,1090,4
1806,1090,20
1807,1091,10
1808,1092,28
1809,1093,12
1810,1093,21
1811,1094,10
1812,1095,23
1813,1095,22
1814,1095,4
1815,1096,23
1816,1096,22
1817,1097,10
1818,1098,18
1819,1098,11
1820,1099,7
1821,1100,10
1822,1101,22
1823,1101,21
1824,1102,16
1825,1102,27
1826,1103,18
1827,1103,11
1828,1103,17
1829,1104,4
1830,1104,21
1831,1105,28
1832,1106,19
1833,1107,10
1834,1108,16
1835,1108,27
1836,1109,7
1837,1109,21
1838,1110,10
1839,1110,12
1840,1110,21
1841,1111,10
1842,1112,26
1843,1113,4
1844,1114,16
1845,1114,14
1846,1115,12
1847,1115,21
1848,1116,18
1849,1116,11
1850,1117,6
1851,1117,21
1852,1118,6
1853,1118,20
1854,1119,4
1855,1119,5
1856,1119,20
1857,1120,16
1858,1120,14
1859,1121,10
1860,1122,18
1861,1122,11
1862,1123,24
1863,1124,19
1864,1125,16
1865,1125,14
1866,1126,24
1867,1127,19
1868,1127,21
1869,1128,4
1870,1128,5
1871,1128,21
1872,1129,16
1873,1129,14
1874,1130,16
1875,1130,27
1876,1130,26
1877,1131,19
1878,1131,20
1879,1132,26
1880,1133,28
1881,1134,19
1882,1135,4
1883,1135,5
1884,1135,20
1885,1136,16
1886,1137,1
1887,1137,21
1888,1138,24
1889,1138,25
1890,1139,4
1891,1139,21
1892,1140,4
1893,1140,20
1894,1140,21
1895,1141,24
1896,1142,4
1897,1143,29
1898,1144,10
1899,1145,6
1900,1146,7
1901,1146,21
1902,1147,29
1903,1148,10
1904,1148,21
1905,1149,10
1906,1150,16
1907,1150,15
1908,1151,24
1909,1152,12
1910,1152,13
1911,1153,16
1912,1153,27
1913,1153,26
1914,1154,26
1915,1154,20
1916,1155,10
1917,1155,21
1918,1156,4
1919,1156,21
1920,1157,10
1921,1158,4
1922,1159,10
1923,1160,19
1924,1160,20
1925,1160,21
1926,1161,24
1927,1162,10
1928,1163,24
1929,1164,2
1930,1164,5
1931,1165,7
1932,1165,21
1933,1166,22
1934,1167,26
1935,1167,16
1936,1168,16
1937,1168,27
1938,1169,8
1939,1170,7
1940,1171,24
1941,1172,10
1942,1173,26
1943,1174,16
1944,1175,16
1945,1175,14
1946,1175,15
1947,1176,16
1948,1177,4
1949,1177,21
1950,1178,4
1951,1179,10
1952,1179,21
1953,1180,4
1954,1180,20
1955,1181,8
1956,1182,10
1957,1182,21
1958,1183,10
1959,1184,2
1960,1184,21
1961,1185,16
1962,1185,27
1963,1186,12
1964,1186,13
1965,1187,16
1966,1187,27
1967,1188,10
1968,1189,6
1969,1189,20
1970,1189,21
1971,1190,26
1972,1190,16
1973,1191,10
1974,1192,18
1975,1192,11
1976,1193,4
1977,1193,20
1978,1194,29
1979,1195,10
1980,1196,8
1981,1197,1
1982,1198,10
1983,1198,21
1984,1199,26
1985,1199,21
1986,1200,23
1987,1200,22
1988,1200,4
1989,1201,19
1990,1202,24
1991,1203,10
1992,1204,10
1993,1205,16
1994,1205,14
1995,1206,16
1996,1206,27
1997,1207,16
1998,1207,27
1999,1207,26
2000,1208,26
2001,1209,10
2002,1210,16
2003,1210,27
2004,1211,19
2005,1211,20
2006,1211,21
2007,1212,10
2008,1213,16
2009,1213,14
2010,1214,26
2011,1214,21
2012,1215,19
2013,1216,16
2014,1216,14
2015,1217,28
2016,1218,24
2017,1219,19
2018,1219,20
2019,1220,1
2020,1220,21
2021,1221,10
2022,1222,24
2023,1223,6
2024,1223,20
2025,1224,8
2026,1224,21
2027,1225,24
2028,1226,10
2029,1227,28
2030,1228,22
2031,1229,16
2032,1229,14
2033,1230,28
2034,1231,28
2035,1232,19
2036,1232,21
2037,1233,10
2038,1234,10
2039,1234,12
2040,1235,26
2041,1236,18
2042,1236,11
2043,1236,17
2044,1237,8
2045,1237,21
2046,1238,10
2047,1239,19
2048,1240,22
2049,1240,21
2050,1241,10
2051,1242,12
2052,1243,22
2053,1243,21
2054,1244,16
2055,1244,27
2056,1245,28
2057,1246,2
2058,1247,10
2059,1248,26
2060,1248,21
2061,1249,24
2062,1250,24
2063,1251,29
2064,1252,8
2065,1252,21
2066,1253,22
2067,1254,24
2068,1255,7
2069,1256,28
2070,1257,4
2071,1258,24
2072,1259,16
2073,1260,7
2074,1260,21
2075,1261,19
